request_time,wait_time,pick_index,drop_index,order_distance,order_fare,detour_ratio
68522,240,2958,3206,2137.0,7.96,1.0
68522,420,4325,2570,2538.0,9.45,0.25
68523,240,3154,1316,3856.0,14.36,0.5
68523,420,617,3048,3875.0,14.43,1.0
68523,300,3437,3770,5017.0,18.68,1.0
68524,180,2941,2733,3251.0,12.1,1.0
68524,300,1006,1797,1955.0,7.28,0.25
68524,240,1236,1614,3600.0,13.4,0.75
68525,360,1478,2138,4420.0,16.46,0.5
68525,360,3834,2538,4415.0,16.44,1.0
68525,240,3389,1989,2551.0,9.5,1.0
68525,360,2662,2629,3360.0,12.51,0.25
68525,300,1492,3576,1041.0,3.88,1.0
68526,180,1395,995,1142.0,4.25,1.0
68526,480,1254,1534,2005.0,7.47,0.75
68526,180,1388,743,1683.0,6.27,0.75
68528,480,250,3720,3155.0,11.75,0.75
68529,180,3964,748,3556.0,13.24,0.25
68529,420,3643,427,1972.0,7.34,1.0
68530,300,4345,2474,4654.0,17.33,0.5
68531,360,2992,270,3813.0,14.2,0.25
68531,240,2564,1007,1770.0,6.59,1.0
68531,420,12,2525,5065.0,18.86,0.25
68531,360,2684,695,5372.0,20.0,0.75
68532,180,670,3243,1522.0,5.67,1.0
68532,180,4303,3482,3530.0,13.14,0.5
68532,420,3340,3318,1842.0,6.86,0.25
68533,180,2276,2308,6063.0,22.57,0.25
68533,480,4376,3552,4890.0,18.21,0.25
68533,240,4382,837,3358.0,12.5,0.75
68533,480,2540,422,2493.0,9.28,1.0
68535,360,569,3444,4222.0,15.72,0.25
68535,180,3031,3156,4747.0,17.67,1.0
68535,420,4437,4124,7712.0,28.71,0.75
68535,360,3153,2082,1832.0,6.82,0.5
68535,420,532,4563,1340.0,4.99,0.75
68536,480,3334,3305,1910.0,7.11,1.0
68536,360,1580,1332,2175.0,8.1,1.0
68537,300,594,2287,2593.0,9.65,0.5
68537,180,3778,1734,7143.0,26.6,0.25
68537,300,424,1116,1870.0,6.96,0.75
68537,360,2374,2753,3459.0,12.88,0.5
68538,180,1515,2665,2036.0,7.58,0.75
